Entreprise,Profil,Experience,Niveau_Etude,Technologie,Salaire
KPMG Technology Maroc,Chef de Projet IT,11,Master,Scrum,17000
Oracle Maroc,Data Scientist / IA,4,Master,TensorFlow,21000
Huawei Maroc,Développeur Mobile,15,Ingénieur,Ionic,15000
Atos Maroc,Business Intelligence,2,Bac+3,Oracle BI,8000
HP Maroc,Ingénieur Cybersécurité,7,Ingénieur,ISO 27001,17000
HP Maroc,Architecte Solutions,7,Ingénieur,System Design,16000
Huawei Maroc,Data Scientist / IA,5,Ingénieur,Python,16000
Orange Business Services Maroc,Cloud Engineer,6,Master,Kubernetes,12000
SAP Maroc,Ingénieur Réseau,7,Ingénieur,SD-WAN,18000
KPMG Technology Maroc,Architecte Solutions,5,Master,Microservices,16000
Atos Maroc,Chef de Projet IT,4,Master,JIRA,13000
SAP Maroc,Architecte Solutions,6,Doctorat,Cloud Architecture,27000
EY Digital Maroc,DevOps Engineer,2,Bac+3,Jenkins,9000
Huawei Maroc,Cloud Engineer,3,Ingénieur,Azure,15000
Oracle Maroc,Cloud Engineer,2,Master,Kubernetes,16000
Lenovo Maroc,Architecte Solutions,4,Ingénieur,Cloud Architecture,14000
Dell Technologies Maroc,Architecte Solutions,9,Master,Enterprise Architecture,17000
CGI Maroc,DevOps Engineer,6,Doctorat,GitLab CI/CD,17000
Oracle Maroc,Cloud Engineer,9,Master,OpenStack,22000
Orange Business Services Maroc,Développeur Full Stack,2,Ingénieur,Node.js,13000
KPMG Technology Maroc,Architecte Solutions,13,Ingénieur,API,21000
Huawei Maroc,Ingénieur Réseau,7,Ingénieur,CCNA,11000
Microsoft Maroc,Data Scientist / IA,4,Bac+2,Python,10000
KPMG Technology Maroc,Chef de Projet IT,0,Ingénieur,Prince2,14000
Sopra Steria Maroc,Architecte Solutions,0,Bac+3,UML,9000
SAP Maroc,Business Intelligence,1,Master,Oracle BI,14000
KPMG Technology Maroc,Développeur Mobile,11,Bac+3,Android Studio,9000
HP Maroc,Ingénieur Cybersécurité,12,Master,SIEM,14000
Microsoft Maroc,Data Scientist / IA,6,Ingénieur,Python,25000
Huawei Maroc,DevOps Engineer,1,Ingénieur,Kubernetes,12000
Capgemini Maroc,DevOps Engineer,9,Ingénieur,Terraform,20000
Lenovo Maroc,DevOps Engineer,0,Bac+3,GitLab CI/CD,7000
Orange Business Services Maroc,Architecte Solutions,8,Ingénieur,Cloud Architecture,14000
Deloitte Digital Maroc,Business Intelligence,10,Master,Power BI,15000
Tata Consultancy Services Maroc,Business Intelligence,13,Master,Tableau,11000
Tata Consultancy Services Maroc,Business Intelligence,3,Bac+3,QlikView,6000
Cisco Maroc,DevOps Engineer,8,Master,GitLab CI/CD,16000
EY Digital Maroc,DevOps Engineer,8,Ingénieur,AWS,17000
EY Digital Maroc,Développeur Mobile,4,Master,Xamarin,12000
Huawei Maroc,Data Scientist / IA,6,Master,PyTorch,15000
Cisco Maroc,Ingénieur Réseau,1,Ingénieur,Palo Alto,11000
PWC Digital Maroc,DevOps Engineer,12,Master,AWS,17000
Microsoft Maroc,Data Scientist / IA,10,Bac+3,Python,18000
Cisco Maroc,Ingénieur Réseau,1,Ingénieur,CCNA,12000
Microsoft Maroc,DevOps Engineer,5,Master,Kubernetes,21000
Tata Consultancy Services Maroc,Développeur Full Stack,5,Master,Node.js,11000
Microsoft Maroc,DevOps Engineer,1,Master,Docker,16000
IBM Maroc,Cloud Engineer,11,Ingénieur,Terraform,25000
CGI Maroc,Ingénieur Cybersécurité,1,Bac+3,Security+,8000
Microsoft Maroc,Cloud Engineer,4,Master,AWS,19000
Microsoft Maroc,Développeur Full Stack,5,Bac+3,Java Spring,15000
EY Digital Maroc,Cloud Engineer,7,Master,AWS,17000
Microsoft Maroc,Architecte Solutions,8,Doctorat,API,26000
Lenovo Maroc,Chef de Projet IT,10,Ingénieur,PMI,14000
Orange Business Services Maroc,Chef de Projet IT,6,Ingénieur,PMI,14000
Orange Business Services Maroc,Cloud Engineer,7,Master,Terraform,12000
Sopra Steria Maroc,DevOps Engineer,2,Ingénieur,Docker,15000
Huawei Maroc,Business Intelligence,6,Bac+3,SQL Server,7000
Capgemini Maroc,DevOps Engineer,5,Master,Terraform,15000
Oracle Maroc,Cloud Engineer,5,Bac+2,Azure,10000
Cisco Maroc,Ingénieur Réseau,7,Master,Juniper,11000
Huawei Maroc,Développeur Full Stack,1,Ingénieur,React,12000
Sopra Steria Maroc,Développeur Mobile,7,Doctorat,Ionic,15000
Tata Consultancy Services Maroc,Cloud Engineer,7,Bac+3,Terraform,9000
Accenture Maroc,Développeur Mobile,2,Ingénieur,Flutter,13000
IBM Maroc,Ingénieur Cybersécurité,10,Master,Security+,22000
PWC Digital Maroc,Développeur Mobile,3,Master,Android Studio,12000
Tata Consultancy Services Maroc,Développeur Mobile,0,Ingénieur,Android Studio,8000
Lenovo Maroc,Ingénieur Réseau,4,Ingénieur,Fortinet,11000
EY Digital Maroc,Chef de Projet IT,1,Ingénieur,MS Project,14000
Lenovo Maroc,Cloud Engineer,1,Bac+2,OpenStack,5000
HP Maroc,Développeur Full Stack,0,Ingénieur,Angular,12000
Dell Technologies Maroc,Business Intelligence,8,Ingénieur,Oracle BI,14000
Dell Technologies Maroc,Développeur Full Stack,14,Doctorat,Vue.js,22000
Accenture Maroc,DevOps Engineer,5,Ingénieur,GitLab CI/CD,17000
Lenovo Maroc,Développeur Mobile,9,Doctorat,Swift,13000
KPMG Technology Maroc,Développeur Mobile,9,Ingénieur,Xamarin,17000
EY Digital Maroc,Chef de Projet IT,10,Ingénieur,Scrum,18000
Capgemini Maroc,Business Intelligence,6,Doctorat,QlikView,16000
Orange Business Services Maroc,Développeur Full Stack,15,Ingénieur,Vue.js,15000
Oracle Maroc,Chef de Projet IT,1,Ingénieur,Scrum,18000
Oracle Maroc,Data Scientist / IA,10,Master,Spark,23000
EY Digital Maroc,Développeur Mobile,1,Bac+3,Kotlin,8000
Accenture Maroc,Développeur Mobile,14,Ingénieur,Ionic,19000
Huawei Maroc,Ingénieur Réseau,15,Doctorat,Cisco,15000
Deloitte Digital Maroc,Ingénieur Réseau,15,Ingénieur,CCNP,18000
HP Maroc,Cloud Engineer,1,Bac+3,Kubernetes,7000
Orange Business Services Maroc,Data Scientist / IA,0,Ingénieur,Python,12000
Huawei Maroc,Ingénieur Réseau,13,Ingénieur,Cisco,12000
Microsoft Maroc,Développeur Full Stack,2,Master,.NET Core,19000
EY Digital Maroc,Data Scientist / IA,2,Bac+3,Python,12000
Accenture Maroc,Développeur Full Stack,8,Ingénieur,Node.js,22000
Deloitte Digital Maroc,Data Scientist / IA,2,Master,R,15000
Tata Consultancy Services Maroc,Cloud Engineer,3,Ingénieur,Google Cloud,11000
PWC Digital Maroc,Data Scientist / IA,5,Ingénieur,Python,21000
Atos Maroc,Ingénieur Cybersécurité,9,Master,SIEM,15000
Orange Business Services Maroc,Business Intelligence,11,Ingénieur,Talend,13000
Atos Maroc,DevOps Engineer,1,Master,Docker,10000
EY Digital Maroc,Data Scientist / IA,3,Bac+3,Spark,10000
Atos Maroc,Développeur Mobile,7,Ingénieur,React Native,14000
KPMG Technology Maroc,Architecte Solutions,1,Ingénieur,Enterprise Architecture,15000
Microsoft Maroc,Business Intelligence,0,Bac+2,Talend,8000
Cisco Maroc,Business Intelligence,3,Master,SQL Server,12000
Atos Maroc,Ingénieur Réseau,2,Master,Palo Alto,9000
Atos Maroc,Architecte Solutions,11,Bac+3,SOA,10000
Cisco Maroc,Business Intelligence,2,Bac+2,Tableau,5000
Tata Consultancy Services Maroc,Ingénieur Réseau,14,Ingénieur,CCNP,11000
Capgemini Maroc,Développeur Mobile,10,Master,React Native,12000
PWC Digital Maroc,DevOps Engineer,2,Master,AWS,15000
PWC Digital Maroc,Cloud Engineer,5,Master,Docker,17000
Lenovo Maroc,Architecte Solutions,7,Bac+3,Cloud Architecture,8000
EY Digital Maroc,Data Scientist / IA,7,Doctorat,R,24000
Atos Maroc,Architecte Solutions,2,Bac+3,Enterprise Architecture,9000
HP Maroc,Architecte Solutions,2,Bac+2,API,5000
Lenovo Maroc,DevOps Engineer,7,Bac+3,Docker,9000
Cisco Maroc,Chef de Projet IT,13,Doctorat,Agile,20000
SAP Maroc,Architecte Solutions,9,Doctorat,API,27000
KPMG Technology Maroc,Cloud Engineer,8,Doctorat,OpenStack,21000
Atos Maroc,Ingénieur Cybersécurité,5,Bac+2,Firewall,6000
HP Maroc,Ingénieur Réseau,1,Ingénieur,Palo Alto,9000
SAP Maroc,Cloud Engineer,7,Master,Azure,18000
SAP Maroc,Cloud Engineer,14,Bac+3,Azure,17000
Capgemini Maroc,DevOps Engineer,2,Ingénieur,Docker,16000
Atos Maroc,Data Scientist / IA,7,Ingénieur,Scikit-learn,19000
Cisco Maroc,Data Scientist / IA,4,Master,Scikit-learn,16000
KPMG Technology Maroc,Cloud Engineer,10,Ingénieur,Terraform,22000
Accenture Maroc,Ingénieur Cybersécurité,1,Master,Pentest,16000
Deloitte Digital Maroc,Développeur Mobile,3,Ingénieur,Kotlin,13000
PWC Digital Maroc,Business Intelligence,1,Master,SQL Server,13000
Accenture Maroc,DevOps Engineer,12,Ingénieur,GitLab CI/CD,22000
CGI Maroc,DevOps Engineer,11,Ingénieur,Docker,18000
Capgemini Maroc,Développeur Mobile,9,Ingénieur,React Native,17000
Lenovo Maroc,Data Scientist / IA,0,Master,R,12000
EY Digital Maroc,Ingénieur Cybersécurité,6,Master,ISO 27001,15000
Atos Maroc,DevOps Engineer,3,Master,AWS,11000
SAP Maroc,Ingénieur Cybersécurité,9,Doctorat,Ethical Hacking,27000
Huawei Maroc,Data Scientist / IA,15,Bac+3,PyTorch,13000
Huawei Maroc,Développeur Full Stack,2,Bac+3,Python Django,7000
Oracle Maroc,Chef de Projet IT,8,Master,Agile,21000
Atos Maroc,Développeur Mobile,11,Ingénieur,Android Studio,15000
HP Maroc,Développeur Full Stack,0,Ingénieur,Java Spring,14000
KPMG Technology Maroc,Cloud Engineer,13,Master,OpenStack,19000
Sopra Steria Maroc,Cloud Engineer,12,Bac+3,Google Cloud,11000
Sopra Steria Maroc,Ingénieur Cybersécurité,0,Bac+2,Firewall,6000
CGI Maroc,Business Intelligence,6,Master,Oracle BI,12000
HP Maroc,Data Scientist / IA,1,Master,R,13000
IBM Maroc,Développeur Full Stack,5,Bac+3,.NET Core,13000
PWC Digital Maroc,DevOps Engineer,14,Ingénieur,Jenkins,23000
Dell Technologies Maroc,Ingénieur Réseau,4,Master,Fortinet,11000
Dell Technologies Maroc,Chef de Projet IT,1,Bac+3,PMI,8000
EY Digital Maroc,Cloud Engineer,0,Master,Google Cloud,14000
Deloitte Digital Maroc,Développeur Full Stack,15,Ingénieur,Python Django,22000
Oracle Maroc,Architecte Solutions,0,Ingénieur,API,18000
Sopra Steria Maroc,DevOps Engineer,14,Ingénieur,Ansible,19000
Dell Technologies Maroc,Cloud Engineer,14,Ingénieur,Docker,18000
Capgemini Maroc,Business Intelligence,1,Bac+3,Tableau,8000
IBM Maroc,Développeur Mobile,3,Master,Android Studio,14000
Lenovo Maroc,DevOps Engineer,11,Master,Jenkins,12000
HP Maroc,Ingénieur Réseau,6,Ingénieur,CCNA,10000
Lenovo Maroc,Ingénieur Cybersécurité,0,Master,SIEM,10000
Huawei Maroc,Data Scientist / IA,11,Master,TensorFlow,16000
Capgemini Maroc,Ingénieur Réseau,10,Bac+3,CCNP,8000
HP Maroc,Ingénieur Réseau,2,Ingénieur,CCNP,10000
Deloitte Digital Maroc,DevOps Engineer,5,Bac+2,Kubernetes,8000
Orange Business Services Maroc,DevOps Engineer,14,Master,Ansible,13000
Cisco Maroc,Data Scientist / IA,2,Master,Python,13000
IBM Maroc,DevOps Engineer,12,Ingénieur,AWS,27000
KPMG Technology Maroc,Architecte Solutions,5,Ingénieur,UML,17000
Capgemini Maroc,Développeur Mobile,10,Ingénieur,Swift,14000
Dell Technologies Maroc,Ingénieur Cybersécurité,2,Master,Firewall,13000
Cisco Maroc,Architecte Solutions,3,Ingénieur,UML,16000
CGI Maroc,Data Scientist / IA,5,Ingénieur,PyTorch,15000
Atos Maroc,Développeur Mobile,5,Master,Kotlin,10000
KPMG Technology Maroc,Développeur Full Stack,8,Ingénieur,Angular,18000
Sopra Steria Maroc,DevOps Engineer,4,Bac+3,Terraform,9000
Oracle Maroc,DevOps Engineer,8,Master,Docker,18000
EY Digital Maroc,Business Intelligence,2,Master,SQL Server,13000
Accenture Maroc,Développeur Mobile,14,Bac+3,Swift,12000
KPMG Technology Maroc,DevOps Engineer,2,Master,Ansible,14000
Capgemini Maroc,Ingénieur Réseau,11,Ingénieur,CCNA,14000
PWC Digital Maroc,Architecte Solutions,2,Bac+2,Enterprise Architecture,7000
CGI Maroc,Ingénieur Réseau,5,Bac+2,Cisco,5000
EY Digital Maroc,Développeur Full Stack,8,Master,Angular,15000
Sopra Steria Maroc,Ingénieur Cybersécurité,1,Bac+3,Ethical Hacking,9000
Lenovo Maroc,DevOps Engineer,8,Master,Ansible,11000
SAP Maroc,Business Intelligence,0,Ingénieur,Tableau,16000
Capgemini Maroc,Ingénieur Cybersécurité,5,Ingénieur,Firewall,17000
Microsoft Maroc,DevOps Engineer,3,Bac+3,Kubernetes,13000
Microsoft Maroc,Cloud Engineer,10,Ingénieur,Docker,28000
EY Digital Maroc,Architecte Solutions,15,Master,UML,20000
EY Digital Maroc,DevOps Engineer,15,Master,AWS,20000
Cisco Maroc,Développeur Mobile,1,Ingénieur,Ionic,13000
Capgemini Maroc,DevOps Engineer,7,Ingénieur,GitLab CI/CD,19000
EY Digital Maroc,Data Scientist / IA,8,Doctorat,TensorFlow,25000
KPMG Technology Maroc,Data Scientist / IA,7,Doctorat,R,24000
Oracle Maroc,Développeur Full Stack,5,Ingénieur,Angular,24000
PWC Digital Maroc,Architecte Solutions,4,Bac+3,UML,10000
PWC Digital Maroc,Chef de Projet IT,2,Bac+3,Scrum,10000
Sopra Steria Maroc,Business Intelligence,5,Bac+3,Talend,7000
Accenture Maroc,Chef de Projet IT,3,Bac+3,Prince2,10000
Accenture Maroc,Développeur Mobile,6,Doctorat,Swift,16000
Capgemini Maroc,Développeur Full Stack,10,Bac+3,.NET Core,12000
Accenture Maroc,Développeur Mobile,0,Bac+2,Flutter,6000
IBM Maroc,Ingénieur Réseau,10,Ingénieur,Cisco,20000
Tata Consultancy Services Maroc,Développeur Full Stack,9,Master,Python Django,10000
PWC Digital Maroc,Cloud Engineer,9,Master,Kubernetes,19000
Tata Consultancy Services Maroc,Architecte Solutions,6,Ingénieur,SOA,12000
Microsoft Maroc,Cloud Engineer,4,Master,OpenStack,17000
Huawei Maroc,Ingénieur Réseau,0,Bac+2,CCNA,4000
Orange Business Services Maroc,Développeur Mobile,8,Master,Android Studio,9000
Oracle Maroc,Business Intelligence,4,Bac+3,Tableau,11000
PWC Digital Maroc,DevOps Engineer,15,Ingénieur,Jenkins,22000
Microsoft Maroc,Architecte Solutions,4,Master,Microservices,21000
Sopra Steria Maroc,Business Intelligence,3,Ingénieur,Oracle BI,13000
Tata Consultancy Services Maroc,Développeur Mobile,8,Ingénieur,Ionic,12000
PWC Digital Maroc,Ingénieur Cybersécurité,0,Bac+3,Security+,11000
Orange Business Services Maroc,Cloud Engineer,11,Doctorat,Kubernetes,18000
Cisco Maroc,Cloud Engineer,14,Ingénieur,OpenStack,20000
HP Maroc,Chef de Projet IT,1,Master,Agile,10000
HP Maroc,Ingénieur Cybersécurité,8,Ingénieur,SIEM,18000
Microsoft Maroc,Chef de Projet IT,6,Ingénieur,Scrum,20000
Huawei Maroc,Ingénieur Cybersécurité,7,Master,Ethical Hacking,15000
Cisco Maroc,Data Scientist / IA,4,Ingénieur,PyTorch,20000
Orange Business Services Maroc,Ingénieur Cybersécurité,6,Ingénieur,ISO 27001,17000
Microsoft Maroc,Business Intelligence,10,Ingénieur,QlikView,23000
Microsoft Maroc,Cloud Engineer,0,Master,OpenStack,17000
Huawei Maroc,Cloud Engineer,13,Ingénieur,Terraform,18000
Capgemini Maroc,DevOps Engineer,9,Master,Ansible,15000
Microsoft Maroc,Cloud Engineer,1,Bac+3,Terraform,13000
Atos Maroc,Développeur Full Stack,0,Ingénieur,Vue.js,12000
Dell Technologies Maroc,DevOps Engineer,15,Master,Terraform,16000
Atos Maroc,Data Scientist / IA,5,Ingénieur,Tableau,16000
IBM Maroc,Architecte Solutions,7,Ingénieur,SOA,21000
Sopra Steria Maroc,Architecte Solutions,14,Ingénieur,Enterprise Architecture,22000
Deloitte Digital Maroc,DevOps Engineer,2,Ingénieur,Docker,18000
Sopra Steria Maroc,Data Scientist / IA,15,Ingénieur,PyTorch,26000
IBM Maroc,Ingénieur Réseau,15,Ingénieur,Palo Alto,22000
Capgemini Maroc,Développeur Full Stack,11,Ingénieur,.NET Core,17000
IBM Maroc,Développeur Mobile,8,Ingénieur,Ionic,19000
Capgemini Maroc,DevOps Engineer,9,Ingénieur,Ansible,18000
SAP Maroc,Architecte Solutions,3,Ingénieur,UML,22000
Orange Business Services Maroc,Développeur Mobile,9,Master,React Native,9000
Tata Consultancy Services Maroc,Data Scientist / IA,13,Ingénieur,R,17000
KPMG Technology Maroc,Cloud Engineer,3,Master,Google Cloud,15000
EY Digital Maroc,Ingénieur Cybersécurité,9,Master,ISO 27001,19000
Dell Technologies Maroc,Architecte Solutions,8,Bac+3,System Design,10000
Atos Maroc,Business Intelligence,2,Ingénieur,SAP BO,13000
SAP Maroc,Ingénieur Cybersécurité,7,Doctorat,Security+,29000
Capgemini Maroc,Développeur Mobile,3,Master,Ionic,12000
PWC Digital Maroc,Data Scientist / IA,1,Bac+3,Tableau,10000
Sopra Steria Maroc,DevOps Engineer,11,Ingénieur,Kubernetes,18000
Orange Business Services Maroc,Architecte Solutions,0,Bac+3,Enterprise Architecture,7000
Atos Maroc,DevOps Engineer,1,Ingénieur,Jenkins,15000
CGI Maroc,Développeur Full Stack,13,Ingénieur,Node.js,18000
Deloitte Digital Maroc,Ingénieur Réseau,5,Ingénieur,Fortinet,16000
SAP Maroc,Développeur Full Stack,2,Ingénieur,React,20000
Lenovo Maroc,DevOps Engineer,1,Bac+3,Ansible,8000
PWC Digital Maroc,Ingénieur Cybersécurité,5,Bac+3,Ethical Hacking,12000
IBM Maroc,Développeur Full Stack,2,Bac+3,Python Django,10000
Sopra Steria Maroc,Chef de Projet IT,4,Ingénieur,JIRA,15000
Capgemini Maroc,Ingénieur Réseau,14,Ingénieur,Fortinet,17000
Tata Consultancy Services Maroc,Business Intelligence,10,Ingénieur,Talend,13000
SAP Maroc,Chef de Projet IT,10,Ingénieur,Prince2,23000
Lenovo Maroc,Data Scientist / IA,12,Master,Tableau,15000
Orange Business Services Maroc,Architecte Solutions,2,Master,Cloud Architecture,10000
PWC Digital Maroc,Cloud Engineer,5,Doctorat,Azure,19000
HP Maroc,Cloud Engineer,9,Ingénieur,Kubernetes,18000
Sopra Steria Maroc,Business Intelligence,8,Doctorat,SQL Server,15000
IBM Maroc,Ingénieur Réseau,8,Ingénieur,Juniper,19000
SAP Maroc,Chef de Projet IT,14,Ingénieur,Scrum,23000
Tata Consultancy Services Maroc,Développeur Mobile,10,Master,Android Studio,10000
SAP Maroc,Développeur Full Stack,12,Doctorat,React,30000
EY Digital Maroc,Architecte Solutions,4,Master,SOA,16000
Orange Business Services Maroc,Architecte Solutions,10,Ingénieur,System Design,17000
Accenture Maroc,Chef de Projet IT,7,Master,Prince2,14000
Dell Technologies Maroc,Développeur Full Stack,7,Bac+3,.NET Core,10000
Oracle Maroc,DevOps Engineer,12,Ingénieur,AWS,23000
Dell Technologies Maroc,Cloud Engineer,5,Bac+3,Terraform,10000
PWC Digital Maroc,Cloud Engineer,8,Doctorat,Terraform,25000
Deloitte Digital Maroc,DevOps Engineer,3,Ingénieur,GitLab CI/CD,15000
Sopra Steria Maroc,Data Scientist / IA,12,Ingénieur,Python,20000
Dell Technologies Maroc,Architecte Solutions,0,Bac+2,Microservices,6000
Sopra Steria Maroc,Architecte Solutions,8,Master,UML,14000
Atos Maroc,Développeur Full Stack,5,Ingénieur,Java Spring,14000
EY Digital Maroc,Ingénieur Réseau,10,Master,Palo Alto,13000
Cisco Maroc,Cloud Engineer,3,Master,Kubernetes,12000
Microsoft Maroc,Développeur Full Stack,9,Doctorat,Python Django,27000
Huawei Maroc,Ingénieur Cybersécurité,6,Bac+3,ISO 27001,9000
Deloitte Digital Maroc,Ingénieur Réseau,14,Doctorat,Fortinet,20000
Tata Consultancy Services Maroc,Data Scientist / IA,9,Bac+3,R,10000
Cisco Maroc,Data Scientist / IA,14,Master,TensorFlow,17000
Oracle Maroc,Développeur Mobile,5,Bac+3,Kotlin,9000
KPMG Technology Maroc,Data Scientist / IA,5,Ingénieur,TensorFlow,21000
Accenture Maroc,Architecte Solutions,3,Bac+3,SOA,11000
PWC Digital Maroc,Développeur Mobile,3,Master,Swift,12000
Dell Technologies Maroc,DevOps Engineer,6,Master,Terraform,12000
Microsoft Maroc,Architecte Solutions,1,Ingénieur,Cloud Architecture,23000
IBM Maroc,Business Intelligence,0,Bac+3,Tableau,10000
IBM Maroc,Business Intelligence,4,Ingénieur,SQL Server,19000
Deloitte Digital Maroc,Chef de Projet IT,1,Bac+2,Kanban,6000
Accenture Maroc,Ingénieur Réseau,13,Ingénieur,Juniper,16000
Dell Technologies Maroc,Cloud Engineer,7,Master,Kubernetes,14000
Deloitte Digital Maroc,Architecte Solutions,7,Doctorat,API,25000
KPMG Technology Maroc,DevOps Engineer,13,Master,Ansible,20000
Huawei Maroc,Développeur Full Stack,3,Doctorat,React,14000
EY Digital Maroc,Chef de Projet IT,9,Ingénieur,Agile,18000
Sopra Steria Maroc,Business Intelligence,12,Master,SQL Server,14000
Oracle Maroc,Développeur Full Stack,4,Master,Angular,16000
Microsoft Maroc,Ingénieur Cybersécurité,2,Bac+3,CISSP,13000
Orange Business Services Maroc,Développeur Mobile,2,Master,Kotlin,9000
Cisco Maroc,Business Intelligence,4,Master,Talend,12000
Accenture Maroc,Architecte Solutions,3,Doctorat,SOA,22000
Sopra Steria Maroc,Chef de Projet IT,6,Master,PMI,13000
SAP Maroc,Chef de Projet IT,11,Master,Agile,21000
Sopra Steria Maroc,Architecte Solutions,8,Ingénieur,UML,18000
Tata Consultancy Services Maroc,Cloud Engineer,6,Ingénieur,Google Cloud,14000
Atos Maroc,Architecte Solutions,4,Ingénieur,Cloud Architecture,15000
KPMG Technology Maroc,Chef de Projet IT,4,Ingénieur,MS Project,15000
Microsoft Maroc,DevOps Engineer,12,Ingénieur,GitLab CI/CD,25000
Microsoft Maroc,Développeur Full Stack,15,Master,.NET Core,22000
Tata Consultancy Services Maroc,Data Scientist / IA,10,Doctorat,Scikit-learn,18000
Deloitte Digital Maroc,Business Intelligence,7,Ingénieur,SAP BO,18000
Oracle Maroc,Développeur Mobile,5,Master,Xamarin,13000
KPMG Technology Maroc,Développeur Mobile,8,Master,Flutter,14000
HP Maroc,Développeur Mobile,2,Ingénieur,Xamarin,12000
CGI Maroc,Business Intelligence,6,Ingénieur,Oracle BI,12000
IBM Maroc,Ingénieur Cybersécurité,1,Ingénieur,Ethical Hacking,23000
Cisco Maroc,Cloud Engineer,3,Master,OpenStack,12000
CGI Maroc,Architecte Solutions,1,Master,API,13000
EY Digital Maroc,Cloud Engineer,8,Doctorat,Azure,21000
EY Digital Maroc,Data Scientist / IA,1,Bac+3,Spark,11000
Atos Maroc,Ingénieur Cybersécurité,6,Ingénieur,Firewall,16000
Atos Maroc,Business Intelligence,1,Bac+3,Oracle BI,6000
HP Maroc,Développeur Mobile,6,Master,Ionic,11000
PWC Digital Maroc,Data Scientist / IA,7,Master,Python,21000
Deloitte Digital Maroc,Chef de Projet IT,3,Ingénieur,PMI,16000
Tata Consultancy Services Maroc,Développeur Mobile,10,Master,Swift,9000
Dell Technologies Maroc,Cloud Engineer,8,Doctorat,Kubernetes,21000
Accenture Maroc,Data Scientist / IA,13,Ingénieur,Python,25000
Atos Maroc,Architecte Solutions,0,Bac+2,Cloud Architecture,5000
SAP Maroc,Data Scientist / IA,3,Bac+3,Tableau,13000
IBM Maroc,DevOps Engineer,9,Ingénieur,Kubernetes,25000
Deloitte Digital Maroc,Chef de Projet IT,3,Master,JIRA,12000
Tata Consultancy Services Maroc,Cloud Engineer,14,Ingénieur,Docker,17000
SAP Maroc,Data Scientist / IA,2,Bac+3,Scikit-learn,13000
IBM Maroc,Architecte Solutions,4,Ingénieur,SOA,20000
Deloitte Digital Maroc,Développeur Full Stack,1,Bac+3,Java Spring,10000
CGI Maroc,Business Intelligence,1,Ingénieur,Oracle BI,13000
Huawei Maroc,Business Intelligence,2,Ingénieur,Oracle BI,11000
Lenovo Maroc,Chef de Projet IT,6,Doctorat,Scrum,14000
Atos Maroc,Chef de Projet IT,2,Master,JIRA,12000
Huawei Maroc,Développeur Mobile,9,Ingénieur,Ionic,13000
Microsoft Maroc,Chef de Projet IT,0,Ingénieur,Kanban,20000
Atos Maroc,Développeur Full Stack,0,Ingénieur,React,12000
SAP Maroc,Développeur Mobile,10,Ingénieur,Flutter,18000
HP Maroc,Ingénieur Cybersécurité,8,Ingénieur,ISO 27001,16000
Dell Technologies Maroc,Développeur Full Stack,3,Bac+2,Angular,6000
Huawei Maroc,Chef de Projet IT,10,Master,JIRA,12000
PWC Digital Maroc,Chef de Projet IT,9,Ingénieur,Prince2,19000
Deloitte Digital Maroc,DevOps Engineer,7,Ingénieur,Jenkins,20000
Oracle Maroc,Développeur Full Stack,1,Ingénieur,Vue.js,18000
Accenture Maroc,Chef de Projet IT,1,Master,Kanban,15000
Oracle Maroc,DevOps Engineer,11,Master,Kubernetes,23000
Capgemini Maroc,Cloud Engineer,8,Master,AWS,17000
PWC Digital Maroc,DevOps Engineer,7,Master,Ansible,16000
CGI Maroc,Développeur Full Stack,7,Ingénieur,Python Django,14000
Lenovo Maroc,Ingénieur Cybersécurité,9,Ingénieur,Ethical Hacking,16000
CGI Maroc,Chef de Projet IT,9,Master,Scrum,14000
Sopra Steria Maroc,Développeur Mobile,0,Master,Ionic,10000
Lenovo Maroc,Business Intelligence,13,Master,Power BI,11000
KPMG Technology Maroc,Ingénieur Cybersécurité,8,Ingénieur,CISSP,19000
Dell Technologies Maroc,DevOps Engineer,5,Ingénieur,Ansible,16000
Microsoft Maroc,Développeur Full Stack,1,Bac+3,Java Spring,13000
Dell Technologies Maroc,Business Intelligence,11,Ingénieur,Talend,15000
EY Digital Maroc,Data Scientist / IA,8,Ingénieur,TensorFlow,20000
Microsoft Maroc,Développeur Mobile,10,Doctorat,Ionic,24000
KPMG Technology Maroc,DevOps Engineer,2,Bac+3,Docker,9000
Lenovo Maroc,Ingénieur Réseau,3,Master,Cisco,8000
Cisco Maroc,Cloud Engineer,7,Ingénieur,Docker,16000
Lenovo Maroc,Architecte Solutions,13,Ingénieur,API,18000
Lenovo Maroc,Data Scientist / IA,2,Bac+3,R,8000
PWC Digital Maroc,Ingénieur Réseau,8,Ingénieur,SD-WAN,15000
EY Digital Maroc,Chef de Projet IT,14,Master,Agile,18000
IBM Maroc,Ingénieur Cybersécurité,9,Ingénieur,Pentest,28000
KPMG Technology Maroc,DevOps Engineer,0,Bac+3,Terraform,9000
Lenovo Maroc,Chef de Projet IT,7,Master,Scrum,12000
CGI Maroc,Chef de Projet IT,5,Ingénieur,MS Project,16000
Sopra Steria Maroc,DevOps Engineer,2,Bac+3,GitLab CI/CD,9000
EY Digital Maroc,Architecte Solutions,3,Bac+3,SOA,11000
Dell Technologies Maroc,Architecte Solutions,11,Bac+3,API,12000
Microsoft Maroc,Architecte Solutions,10,Bac+3,Cloud Architecture,15000
